Harga Aktual (Rp),Harga Prediksi (Rp),Residual
1400000000.0,1412757800.0,-12757760.0
500000000.0,511149980.0,-11149984.0
342000000.0,360601250.0,-18601248.0
764000000.0,785579100.0,-21579072.0
764000000.0,785579100.0,-21579072.0
500000000.0,505962500.0,-5962496.0
1150000000.0,941961600.0,208038400.0
599000000.0,590014500.0,8985472.0
1680000000.0,1603856400.0,76143616.0
1560000000.0,1652229400.0,-92229376.0
1180000000.0,1107037200.0,72962816.0
1180000000.0,1120244700.0,59755264.0
990000000.0,847174200.0,142825792.0
800000000.0,1235276700.0,-435276672.0
718000000.0,574374800.0,143625216.0
1390000000.0,981750100.0,408249920.0
764000000.0,912879500.0,-148879488.0
1200000000.0,1284910800.0,-84910848.0
1310000000.0,1440605400.0,-130605440.0
680000000.0,622133250.0,57866752.0
680000000.0,622101200.0,57898816.0
1200000000.0,1169458300.0,30541696.0
680000000.0,622101200.0,57898816.0
680000000.0,622101200.0,57898816.0
1200000000.0,1169458300.0,30541696.0
680000000.0,622101200.0,57898816.0
1200000000.0,1169458300.0,30541696.0
390000000.0,406652320.0,-16652320.0
455000000.0,492763140.0,-37763136.0
1010000000.0,1386593200.0,-376593152.0
690000000.0,660471200.0,29528832.0
988000000.0,707958000.0,280041984.0
465000000.0,392025920.0,72974080.0
480000000.0,647281540.0,-167281536.0
625000000.0,490584640.0,134415360.0
3000000000.0,3046709500.0,-46709504.0
1180000000.0,1173637000.0,6363008.0
1080000000.0,1214655700.0,-134655744.0
1050000000.0,956410300.0,93589696.0
1080000000.0,1228505000.0,-148504960.0
1150000000.0,1008188000.0,141811968.0
1080000000.0,1214655700.0,-134655744.0
1080000000.0,1214655700.0,-134655744.0
1150000000.0,1008188000.0,141811968.0
1150000000.0,1008188000.0,141811968.0
1150000000.0,1008188000.0,141811968.0
1210000000.0,906350850.0,303649152.0
1180000000.0,1162544000.0,17456000.0
1150000000.0,1008188000.0,141811968.0
1180000000.0,1162544000.0,17456000.0
968000000.0,928258560.0,39741440.0
1650000000.0,1941462300.0,-291462272.0
1180000000.0,1162544000.0,17456000.0
720000000.0,755427840.0,-35427840.0
1300000000.0,1374352100.0,-74352128.0
1190000000.0,1166046100.0,23953920.0
1180000000.0,1152912000.0,27088000.0
1300000000.0,1137860000.0,162140032.0
600000000.0,738381700.0,-138381696.0
500000000.0,571522560.0,-71522560.0
1100000000.0,964660100.0,135339904.0
1280000000.0,1590828800.0,-310828800.0
3700000000.0,3669149700.0,30850304.0
1070000000.0,1189865600.0,-119865600.0
476000000.0,404953380.0,71046624.0
968000000.0,1138016300.0,-170016256.0
884000000.0,746950140.0,137049856.0
1180000000.0,1223337500.0,-43337472.0
