model,MAE,RMSE,R2
LinearRegression,0.29370892474630766,0.457822459753454,0.6959240611049555
RandomForest,0.17625635789531266,0.26992245087718914,0.8943022153570002
GradientBoosting,0.21596600140803945,0.29071388036864726,0.877391831904415
XGBoost,0.18385250938991166,0.2663987398777383,0.8970438722682301
